,Year,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,DOT_ID_Marketing_Airline,Operating_Airline ,DOT_ID_Operating_Airline,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
976,2025,1,1,3,2025-01-01,DL,19790,DL,19790,2745,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",826,943.0,77.0,77.0,1.0,5.0,0800-0859,18.0,1001.0,1043.0,6.0,950,1049.0,59.0,59.0,1.0,3.0,0900-0959,0.0,,0.0,59.0,0.0,0.0,0.0,0.0
977,2025,1,2,4,2025-01-02,DL,19790,DL,19790,2745,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",826,823.0,-3.0,0.0,0.0,-1.0,0800-0859,25.0,848.0,931.0,7.0,950,938.0,-12.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,,,,,
978,2025,1,3,5,2025-01-03,DL,19790,DL,19790,2745,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",826,823.0,-3.0,0.0,0.0,-1.0,0800-0859,15.0,838.0,921.0,7.0,950,928.0,-22.0,0.0,0.0,-2.0,0900-0959,0.0,,0.0,,,,,
979,2025,1,4,6,2025-01-04,DL,19790,DL,19790,2745,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",826,841.0,15.0,15.0,1.0,1.0,0800-0859,16.0,857.0,941.0,17.0,950,958.0,8.0,8.0,0.0,0.0,0900-0959,0.0,,0.0,,,,,
980,2025,1,5,7,2025-01-05,DL,19790,DL,19790,2745,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",826,822.0,-4.0,0.0,0.0,-1.0,0800-0859,17.0,839.0,923.0,7.0,950,930.0,-20.0,0.0,0.0,-2.0,0900-0959,0.0,,0.0,,,,,
23472,2025,1,6,1,2025-01-06,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1742.0,51.0,51.0,1.0,3.0,1600-1659,23.0,1805.0,1848.0,6.0,1816,1854.0,38.0,38.0,1.0,2.0,1800-1859,0.0,,0.0,7.0,0.0,0.0,0.0,31.0
23474,2025,1,7,2,2025-01-07,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1651.0,0.0,0.0,0.0,0.0,1600-1659,22.0,1713.0,1756.0,7.0,1816,1803.0,-13.0,0.0,0.0,-1.0,1800-1859,0.0,,0.0,,,,,
23476,2025,1,8,3,2025-01-08,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1735.0,44.0,44.0,1.0,2.0,1600-1659,16.0,1751.0,1839.0,4.0,1816,1843.0,27.0,27.0,1.0,1.0,1800-1859,0.0,,0.0,4.0,0.0,0.0,0.0,23.0
23478,2025,1,9,4,2025-01-09,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1655.0,4.0,4.0,0.0,0.0,1600-1659,15.0,1710.0,1753.0,5.0,1816,1758.0,-18.0,0.0,0.0,-2.0,1800-1859,0.0,,0.0,,,,,
23480,2025,1,10,5,2025-01-10,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,,,,,,1600-1659,,,,,1816,,,,,,1800-1859,1.0,B,0.0,,,,,
23482,2025,1,11,6,2025-01-11,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1728.0,37.0,37.0,1.0,2.0,1600-1659,27.0,1755.0,1835.0,13.0,1816,1848.0,32.0,32.0,1.0,2.0,1800-1859,0.0,,0.0,5.0,0.0,0.0,0.0,27.0
23484,2025,1,12,7,2025-01-12,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1704.0,13.0,13.0,0.0,0.0,1600-1659,20.0,1724.0,1812.0,3.0,1816,1815.0,-1.0,0.0,0.0,-1.0,1800-1859,0.0,,0.0,,,,,
23486,2025,1,13,1,2025-01-13,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1727.0,36.0,36.0,1.0,2.0,1600-1659,14.0,1741.0,1826.0,7.0,1816,1833.0,17.0,17.0,1.0,1.0,1800-1859,0.0,,0.0,8.0,0.0,0.0,0.0,9.0
23488,2025,1,14,2,2025-01-14,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1659.0,8.0,8.0,0.0,0.0,1600-1659,23.0,1722.0,1810.0,6.0,1816,1816.0,0.0,0.0,0.0,0.0,1800-1859,0.0,,0.0,,,,,
23490,2025,1,15,3,2025-01-15,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1652.0,1.0,1.0,0.0,0.0,1600-1659,22.0,1714.0,1758.0,5.0,1816,1803.0,-13.0,0.0,0.0,-1.0,1800-1859,0.0,,0.0,,,,,
23492,2025,1,16,4,2025-01-16,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1650.0,-1.0,0.0,0.0,-1.0,1600-1659,24.0,1714.0,1757.0,5.0,1816,1802.0,-14.0,0.0,0.0,-1.0,1800-1859,0.0,,0.0,,,,,
23494,2025,1,17,5,2025-01-17,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1653.0,2.0,2.0,0.0,0.0,1600-1659,20.0,1713.0,1801.0,7.0,1816,1808.0,-8.0,0.0,0.0,-1.0,1800-1859,0.0,,0.0,,,,,
23496,2025,1,18,6,2025-01-18,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1653.0,2.0,2.0,0.0,0.0,1600-1659,15.0,1708.0,1756.0,6.0,1816,1802.0,-14.0,0.0,0.0,-1.0,1800-1859,0.0,,0.0,,,,,
23498,2025,1,19,7,2025-01-19,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1745.0,54.0,54.0,1.0,3.0,1600-1659,14.0,1759.0,1847.0,7.0,1816,1854.0,38.0,38.0,1.0,2.0,1800-1859,0.0,,0.0,3.0,0.0,0.0,0.0,35.0
23500,2025,1,20,1,2025-01-20,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1809.0,78.0,78.0,1.0,5.0,1600-1659,14.0,1823.0,1908.0,7.0,1816,1915.0,59.0,59.0,1.0,3.0,1800-1859,0.0,,0.0,11.0,0.0,0.0,0.0,48.0
23502,2025,1,21,2,2025-01-21,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1730.0,39.0,39.0,1.0,2.0,1600-1659,,,,,1816,,,,,,1800-1859,1.0,B,0.0,,,,,
23504,2025,1,22,3,2025-01-22,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1649.0,-2.0,0.0,0.0,-1.0,1600-1659,27.0,1716.0,1802.0,6.0,1816,1808.0,-8.0,0.0,0.0,-1.0,1800-1859,0.0,,0.0,,,,,
23506,2025,1,23,4,2025-01-23,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1645.0,-6.0,0.0,0.0,-1.0,1600-1659,16.0,1701.0,1747.0,5.0,1816,1752.0,-24.0,0.0,0.0,-2.0,1800-1859,0.0,,0.0,,,,,
23508,2025,1,24,5,2025-01-24,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1645.0,-6.0,0.0,0.0,-1.0,1600-1659,24.0,1709.0,1750.0,4.0,1816,1754.0,-22.0,0.0,0.0,-2.0,1800-1859,0.0,,0.0,,,,,
23510,2025,1,25,6,2025-01-25,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1647.0,-4.0,0.0,0.0,-1.0,1600-1659,15.0,1702.0,1746.0,4.0,1816,1750.0,-26.0,0.0,0.0,-2.0,1800-1859,0.0,,0.0,,,,,
23512,2025,1,26,7,2025-01-26,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1644.0,-7.0,0.0,0.0,-1.0,1600-1659,19.0,1703.0,1747.0,5.0,1816,1752.0,-24.0,0.0,0.0,-2.0,1800-1859,0.0,,0.0,,,,,
23514,2025,1,27,1,2025-01-27,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1656.0,5.0,5.0,0.0,0.0,1600-1659,38.0,1734.0,1823.0,9.0,1816,1832.0,16.0,16.0,1.0,1.0,1800-1859,0.0,,0.0,0.0,0.0,16.0,0.0,0.0
23516,2025,1,28,2,2025-01-28,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1654.0,3.0,3.0,0.0,0.0,1600-1659,18.0,1712.0,1759.0,5.0,1816,1804.0,-12.0,0.0,0.0,-1.0,1800-1859,0.0,,0.0,,,,,
23518,2025,1,29,3,2025-01-29,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1647.0,-4.0,0.0,0.0,-1.0,1600-1659,21.0,1708.0,1750.0,3.0,1816,1753.0,-23.0,0.0,0.0,-2.0,1800-1859,0.0,,0.0,,,,,
23520,2025,1,30,4,2025-01-30,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1648.0,-3.0,0.0,0.0,-1.0,1600-1659,26.0,1714.0,1801.0,6.0,1816,1807.0,-9.0,0.0,0.0,-1.0,1800-1859,0.0,,0.0,,,,,
23522,2025,1,31,5,2025-01-31,DL,19790,DL,19790,3031,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1651,1718.0,27.0,27.0,1.0,1.0,1600-1659,15.0,1733.0,1821.0,8.0,1816,1829.0,13.0,13.0,0.0,0.0,1800-1859,0.0,,0.0,,,,,
24674,2025,1,6,1,2025-01-06,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,1005.0,0.0,0.0,0.0,0.0,1000-1059,24.0,1029.0,1114.0,6.0,1130,1120.0,-10.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,,,,,
24675,2025,1,7,2,2025-01-07,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,1004.0,-1.0,0.0,0.0,-1.0,1000-1059,17.0,1021.0,1101.0,4.0,1130,1105.0,-25.0,0.0,0.0,-2.0,1100-1159,0.0,,0.0,,,,,
24676,2025,1,8,3,2025-01-08,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,1000.0,-5.0,0.0,0.0,-1.0,1000-1059,16.0,1016.0,1100.0,8.0,1130,1108.0,-22.0,0.0,0.0,-2.0,1100-1159,0.0,,0.0,,,,,
24677,2025,1,9,4,2025-01-09,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,959.0,-6.0,0.0,0.0,-1.0,1000-1059,23.0,1022.0,1104.0,7.0,1130,1111.0,-19.0,0.0,0.0,-2.0,1100-1159,0.0,,0.0,,,,,
24678,2025,1,10,5,2025-01-10,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,1414.0,249.0,249.0,1.0,12.0,1000-1059,36.0,1450.0,1541.0,7.0,1130,1548.0,258.0,258.0,1.0,12.0,1100-1159,0.0,,0.0,0.0,249.0,9.0,0.0,0.0
24679,2025,1,11,6,2025-01-11,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,1104.0,59.0,59.0,1.0,3.0,1000-1059,14.0,1118.0,1201.0,5.0,1130,1206.0,36.0,36.0,1.0,2.0,1100-1159,0.0,,0.0,13.0,0.0,0.0,0.0,23.0
24680,2025,1,12,7,2025-01-12,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,1003.0,-2.0,0.0,0.0,-1.0,1000-1059,27.0,1030.0,1113.0,14.0,1130,1127.0,-3.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,,,,,
24681,2025,1,13,1,2025-01-13,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,1003.0,-2.0,0.0,0.0,-1.0,1000-1059,26.0,1029.0,1115.0,5.0,1130,1120.0,-10.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,,,,,
24682,2025,1,14,2,2025-01-14,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,1005.0,0.0,0.0,0.0,0.0,1000-1059,15.0,1020.0,1105.0,6.0,1130,1111.0,-19.0,0.0,0.0,-2.0,1100-1159,0.0,,0.0,,,,,
24683,2025,1,15,3,2025-01-15,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,955.0,-10.0,0.0,0.0,-1.0,1000-1059,14.0,1009.0,1052.0,7.0,1130,1059.0,-31.0,0.0,0.0,-2.0,1100-1159,0.0,,0.0,,,,,
24684,2025,1,16,4,2025-01-16,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,957.0,-8.0,0.0,0.0,-1.0,1000-1059,21.0,1018.0,1100.0,6.0,1130,1106.0,-24.0,0.0,0.0,-2.0,1100-1159,0.0,,0.0,,,,,
24685,2025,1,17,5,2025-01-17,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,1042.0,37.0,37.0,1.0,2.0,1000-1059,14.0,1056.0,1136.0,6.0,1130,1142.0,12.0,12.0,0.0,0.0,1100-1159,0.0,,0.0,,,,,
24686,2025,1,18,6,2025-01-18,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,1011.0,6.0,6.0,0.0,0.0,1000-1059,14.0,1025.0,1115.0,12.0,1130,1127.0,-3.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,,,,,
24687,2025,1,19,7,2025-01-19,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,957.0,-8.0,0.0,0.0,-1.0,1000-1059,24.0,1021.0,1107.0,7.0,1130,1114.0,-16.0,0.0,0.0,-2.0,1100-1159,0.0,,0.0,,,,,
24688,2025,1,20,1,2025-01-20,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,1014.0,9.0,9.0,0.0,0.0,1000-1059,14.0,1028.0,1116.0,6.0,1130,1122.0,-8.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,,,,,
24689,2025,1,21,2,2025-01-21,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,1044.0,39.0,39.0,1.0,2.0,1000-1059,24.0,1108.0,1157.0,7.0,1130,1204.0,34.0,34.0,1.0,2.0,1100-1159,0.0,,0.0,0.0,0.0,0.0,0.0,34.0
24690,2025,1,22,3,2025-01-22,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,,,,,,1000-1059,,,,,1130,,,,,,1100-1159,1.0,B,0.0,,,,,
24691,2025,1,23,4,2025-01-23,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,956.0,-9.0,0.0,0.0,-1.0,1000-1059,27.0,1023.0,1107.0,7.0,1130,1114.0,-16.0,0.0,0.0,-2.0,1100-1159,0.0,,0.0,,,,,
24692,2025,1,24,5,2025-01-24,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,1005.0,0.0,0.0,0.0,0.0,1000-1059,23.0,1028.0,1113.0,7.0,1130,1120.0,-10.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,,,,,
24693,2025,1,25,6,2025-01-25,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,953.0,-12.0,0.0,0.0,-1.0,1000-1059,22.0,1015.0,1057.0,5.0,1130,1102.0,-28.0,0.0,0.0,-2.0,1100-1159,0.0,,0.0,,,,,
24694,2025,1,26,7,2025-01-26,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,953.0,-12.0,0.0,0.0,-1.0,1000-1059,17.0,1010.0,1051.0,7.0,1130,1058.0,-32.0,0.0,0.0,-2.0,1100-1159,0.0,,0.0,,,,,
24695,2025,1,27,1,2025-01-27,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,957.0,-8.0,0.0,0.0,-1.0,1000-1059,20.0,1017.0,1103.0,7.0,1130,1110.0,-20.0,0.0,0.0,-2.0,1100-1159,0.0,,0.0,,,,,
24696,2025,1,28,2,2025-01-28,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,955.0,-10.0,0.0,0.0,-1.0,1000-1059,35.0,1030.0,1111.0,6.0,1130,1117.0,-13.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,,,,,
24697,2025,1,29,3,2025-01-29,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,958.0,-7.0,0.0,0.0,-1.0,1000-1059,14.0,1012.0,1055.0,6.0,1130,1101.0,-29.0,0.0,0.0,-2.0,1100-1159,0.0,,0.0,,,,,
24698,2025,1,30,4,2025-01-30,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,959.0,-6.0,0.0,0.0,-1.0,1000-1059,17.0,1016.0,1101.0,7.0,1130,1108.0,-22.0,0.0,0.0,-2.0,1100-1159,0.0,,0.0,,,,,
24699,2025,1,31,5,2025-01-31,DL,19790,DL,19790,3067,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",1005,959.0,-6.0,0.0,0.0,-1.0,1000-1059,30.0,1029.0,1116.0,10.0,1130,1126.0,-4.0,0.0,0.0,-1.0,1100-1159,0.0,,0.0,,,,,
26990,2025,1,6,1,2025-01-06,DL,19790,DL,19790,3150,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",813,806.0,-7.0,0.0,0.0,-1.0,0800-0859,22.0,828.0,918.0,7.0,938,925.0,-13.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,,,,,
26991,2025,1,8,3,2025-01-08,DL,19790,DL,19790,3150,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",813,806.0,-7.0,0.0,0.0,-1.0,0800-0859,36.0,842.0,930.0,7.0,938,937.0,-1.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,,,,,
26992,2025,1,9,4,2025-01-09,DL,19790,DL,19790,3150,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",813,808.0,-5.0,0.0,0.0,-1.0,0800-0859,21.0,829.0,909.0,12.0,938,921.0,-17.0,0.0,0.0,-2.0,0900-0959,0.0,,0.0,,,,,
26993,2025,1,10,5,2025-01-10,DL,19790,DL,19790,3150,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",813,,,,,,0800-0859,,,,,938,,,,,,0900-0959,1.0,B,0.0,,,,,
26994,2025,1,11,6,2025-01-11,DL,19790,DL,19790,3150,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",813,,,,,,0800-0859,,,,,938,,,,,,0900-0959,1.0,B,0.0,,,,,
26995,2025,1,12,7,2025-01-12,DL,19790,DL,19790,3150,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",813,1347.0,334.0,334.0,1.0,12.0,0800-0859,14.0,1401.0,1449.0,6.0,938,1455.0,317.0,317.0,1.0,12.0,0900-0959,0.0,,0.0,243.0,0.0,0.0,0.0,74.0
26996,2025,1,13,1,2025-01-13,DL,19790,DL,19790,3150,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",813,811.0,-2.0,0.0,0.0,-1.0,0800-0859,25.0,836.0,922.0,10.0,938,932.0,-6.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,,,,,
26997,2025,1,14,2,2025-01-14,DL,19790,DL,19790,3150,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",813,811.0,-2.0,0.0,0.0,-1.0,0800-0859,19.0,830.0,915.0,5.0,938,920.0,-18.0,0.0,0.0,-2.0,0900-0959,0.0,,0.0,,,,,
26998,2025,1,15,3,2025-01-15,DL,19790,DL,19790,3150,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",813,807.0,-6.0,0.0,0.0,-1.0,0800-0859,16.0,823.0,907.0,7.0,938,914.0,-24.0,0.0,0.0,-2.0,0900-0959,0.0,,0.0,,,,,
26999,2025,1,16,4,2025-01-16,DL,19790,DL,19790,3150,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",813,805.0,-8.0,0.0,0.0,-1.0,0800-0859,18.0,823.0,910.0,21.0,938,931.0,-7.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,,,,,
27000,2025,1,17,5,2025-01-17,DL,19790,DL,19790,3150,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",813,817.0,4.0,4.0,0.0,0.0,0800-0859,26.0,843.0,922.0,10.0,938,932.0,-6.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,,,,,
27001,2025,1,18,6,2025-01-18,DL,19790,DL,19790,3150,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",819,814.0,-5.0,0.0,0.0,-1.0,0800-0859,14.0,828.0,914.0,25.0,944,939.0,-5.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,,,,,
27002,2025,1,19,7,2025-01-19,DL,19790,DL,19790,3150,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",850,846.0,-4.0,0.0,0.0,-1.0,0800-0859,17.0,903.0,951.0,4.0,1011,955.0,-16.0,0.0,0.0,-2.0,1000-1059,0.0,,0.0,,,,,
27003,2025,1,20,1,2025-01-20,DL,19790,DL,19790,3150,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",813,848.0,35.0,35.0,1.0,2.0,0800-0859,16.0,904.0,956.0,6.0,938,1002.0,24.0,24.0,1.0,1.0,0900-0959,0.0,,0.0,24.0,0.0,0.0,0.0,0.0
27004,2025,1,21,2,2025-01-21,DL,19790,DL,19790,3150,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",813,807.0,-6.0,0.0,0.0,-1.0,0800-0859,16.0,823.0,911.0,9.0,938,920.0,-18.0,0.0,0.0,-2.0,0900-0959,0.0,,0.0,,,,,
27005,2025,1,22,3,2025-01-22,DL,19790,DL,19790,3150,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",813,1114.0,181.0,181.0,1.0,12.0,0800-0859,14.0,1128.0,1211.0,7.0,938,1218.0,160.0,160.0,1.0,10.0,0900-0959,0.0,,0.0,0.0,0.0,160.0,0.0,0.0
27006,2025,1,23,4,2025-01-23,DL,19790,DL,19790,3150,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",813,812.0,-1.0,0.0,0.0,-1.0,0800-0859,17.0,829.0,914.0,23.0,938,937.0,-1.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,,,,,
27007,2025,1,24,5,2025-01-24,DL,19790,DL,19790,3150,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",813,806.0,-7.0,0.0,0.0,-1.0,0800-0859,23.0,829.0,914.0,18.0,938,932.0,-6.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,,,,,
27008,2025,1,25,6,2025-01-25,DL,19790,DL,19790,3150,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",813,806.0,-7.0,0.0,0.0,-1.0,0800-0859,27.0,833.0,914.0,10.0,938,924.0,-14.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,,,,,
27009,2025,1,26,7,2025-01-26,DL,19790,DL,19790,3150,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",813,806.0,-7.0,0.0,0.0,-1.0,0800-0859,17.0,823.0,904.0,24.0,938,928.0,-10.0,0.0,0.0,-1.0,0900-0959,0.0,,0.0,,,,,
27010,2025,1,27,1,2025-01-27,DL,19790,DL,19790,3150,11057,1105703,31057,CLT,"Charlotte, NC",10397,1039707,30397,ATL,"Atlanta, GA",813,825.0,12.0,12.0,0.0,0.0,0800-0859,27.0,852.0,935.0,14.0,938,949.0,11.0,11.0,0.0,0.0,0900-0959,0.0,,0.0,,,,,
